"foaf_depicts","dcterms_identifier","dcterms_created","dcterms_modified","label","dcterms_description","ac_tag","geo_lat","geo_long","ac_accessURI","exif_PixelXDimension","exif_PixelYDimension","geo_alt"
"000126",4831696134,"2010-07-01T20:50:40","2017-04-04T08:11:00-05:00","dsc0411jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4076/4831696134_32ccc7c599_",2048,1371,
"000126",4831084553,"2010-07-01T20:50:44","2017-04-04T08:11:00-05:00","dsc0412jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4090/4831084553_9a6aedc331_",2048,1371,
"000126",4831084887,"2010-07-01T20:50:51","2017-04-04T08:11:00-05:00","dsc0413jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4130/4831084887_fd4204db28_",2048,1371,
"000126",4831697590,"2010-07-01T20:50:59","2017-04-04T08:11:00-05:00","dsc0414jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4120/4831697590_cb8146914d_",2048,1371,
"000126",4831698224,"2010-07-01T20:51:03","2017-04-04T08:11:00-05:00","dsc0415jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4122/4831698224_440ea1ff83_",2048,1371,
"000126",4831698850,"2010-07-01T20:51:06","2017-04-04T08:11:00-05:00","dsc0416jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4095/4831698850_07fc6e4ce5_",2048,1371,
"000126",4831699168,"2010-07-01T20:51:12","2017-04-04T08:11:00-05:00","dsc0417jpg","Baitaisi    三滴法藏阁      Sandifacangdian","geotagged geo:lat=3566345 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11100465",35.66345,111.00465,"farm5.staticflickr.com/4093/4831699168_16a37166d3_",2048,1371,
"000125",4831087279,"2010-07-01T20:51:21","2017-04-04T08:11:00-05:00","dsc0418jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4113/4831087279_3121fa540d_",2048,1371,
"000125",4831088301,"2010-07-01T20:52:18","2017-04-04T08:11:00-05:00","dsc0420jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4087/4831088301_230fc6835d_",2048,1371,
"000125",4831701004,"2010-07-01T20:52:31","2017-04-04T08:11:00-05:00","dsc0421jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4151/4831701004_2d1ef0f2f0_",2048,1371,
"000125",4831089433,"2010-07-01T20:52:38","2017-04-04T08:11:00-05:00","dsc0422jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4100/4831089433_da0122d4e3_",2048,1371,
"000125",4831089933,"2010-07-01T20:52:44","2017-04-04T08:11:00-05:00","dsc0423jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4092/4831089933_68f1af7e03_",2048,1371,
"000125",4831090505,"2010-07-01T20:53:00","2017-04-04T08:11:00-05:00","dsc0424jpg","Baitaisi   释迦殿  Shijiadian  name plaque","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4147/4831090505_b79acf3027_",2048,1371,
"000125",4831090955,"2010-07-01T20:53:14","2017-04-04T08:11:00-05:00","dsc0425jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4076/4831090955_68d73f0464_",2048,1371,
"000125",4831091331,"2010-07-01T20:53:29","2017-04-04T08:11:00-05:00","dsc0426jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4151/4831091331_108d1a6b9a_",2048,1371,
"000125",4831091603,"2010-07-01T20:53:36","2017-04-04T08:11:00-05:00","dsc0427jpg","Baitaisi   释迦殿  Shijiadian","geotagged geo:lat=3566367 geo:tool=houdahgeo baitaisi guangmacun gujiaozhen xinjiangxian geo:lon=11106940",35.66367,111.0694,"farm5.staticflickr.com/4092/4831091603_cd9e72ded8_",2048,1371,
