"MEDIUM","FABRIC","TECHNIQUE","FORM","SUB-FORM","START_DATE","END_DATE","PAINTER","POTTER","SUBJECT_ADDITIONAL","LOCATION_COUNTRY","LOCATION_CITY","COLLECTION_NAME","COLLECTION_ID","PROVENIENCE","modified","local_unique_identifier","TRENDALL_ID","scene_type_a_cv","IMAGE_SERIES","SCENE_TYPE_A","MUSICAL_SCENE_TYPE_A","CAT_DESCRIPTION_A","SIDE_A_DETAILS","SIDE_A_INSTRUMENTS_AND_NUMBERS","SIDE_A_PERFORMERS","SIDE_A_PERFORMER_LOCATION","SIDE_A_PERFORMER_ACTION","SIDE_A_NUMBER_OF_FIGURES","SIDE_A_COMPOSITION","SCENE_TYPE_B","MUSICAL_SCENE_TYPE_B","CAT_DESCRIPTION_B","SIDE_B_DETAILS","SIDE_B_INSTRUMENTS_AND_NUMBERS","SIDE_B_PERFORMERS","SIDE_B_PERFORMER_LOCATION","SIDE_B_PERFORMER_ACTION","SIDE_B_NUMBER_OF_FIGURES","SIDE_B_COMPOSITION","IMAGE_IDS","NOTES","PUBLICATION","CATEGORY_1","CATEGORY_2","RVAp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0400","0370","Tarporley Painter",,,,"Geneva","Mus�e d'Art et d'Histoire",15036,,"2017-02-20T22:30:00-06:00","3-43",3.43,,"6241-43","MYTHOLOGICAL",,"amazonomachy","Amazonomachy: an amazon on a horse facing R throws a knobby spear towards a semi-fallen Greek soldier facing L, a central amazon above blocks a spear with her shield and throws a spear at the same semi-fallen soldier, a Greek wearing his cloak belted over one shoulder and a striped shield moves L into the fray while a horse runs away",,,,,"2_F,2_M,2_A",,"PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(TYM), PROCESSION (DIONYSIAC)(BELL)","two women, a bearded satyr, and a youth (Dionysos) moving left","L-R: A woman, hair simply pulled up, holds a torck and a thyrsos and moves L, a satyr, frontal and bearded, moves L, looks up/right and holds a tambourine over his head, a nude youth, frontal, hair loose, holds a thyrsos in his R hand and a bell in his L hand with a cloak draped over his L arm, a woman, breasts bared by her long chiton, holds a thyrsos in her L hand and wields a dagger above her head with her R while moving L","1_(TYM),1_(BELL)","S(TYM),M(BELL)","C(TYM),C(BELL)","STANDING(TYM),STANDING(BELL)","2_F,1_M,1_S","SINGLE","IMAG6241.jpg, IMAG6242.jpg, IMAG6243.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Bell","0390","0375","Painter of Lecce 686",,,,"Erbach","Gr�fliche Sammlungen Schloss Erbach",33,,"2017-02-20T22:30:00-06:00","3-69",3.69,,"6278-79","PROCESSION (DIONYSIAC)","PROCESSION (DIONYSIAC)(AU)","A nude youth, frontal, moves R and looks L, cloak over arms, stemless kylix held by handle in R hand and thyrsos upright in L, following a woman with long garments and billowing shawl around arms moving R and playing the aulos","A nude youth, frontal, moves R and looks L, cloak over arms, stemless kylix held by handle in R hand and thyrsos upright in L, following a woman with long garments and billowing shawl around arms moving R and playing the aulos","1_(AU)","F(AU)","R(AU)","WALKING(AU)","1_F,1_M","SINGLE","MANTLE FIGURES",,"Two mantle figures facing one another, L one with stick, jumping weights on the wall above/between","Two mantle figures facing one another, L one with stick, jumping weights on the wall above/between",,,,,"2_M","SINGLE","IMAG6278.jpg, IMAG6279.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0390","0375","Group of Lecce 686",,,,"Boulogne","Mus�e",122,,"2017-02-20T22:30:00-06:00","3-84",3.84,,6290,"COURTSHIP","COURTSHIP(TYM)","A woman with long dress and hair pulled up simply, seated facing R, holds a tambourine in her L hand; a nude youth stands � L facing her with L hand on hip and R hand on a stick","A woman with long dress and hair pulled up simply, seated facing R, holds a tambourine in her L hand; a nude youth stands � L facing her with L hand on hip and R hand on a stick","1_(TYM)","F(TYM)","C(TYM)","SEATED(TYM)","1_F,1_M","SINGLE","MANTLE FIGURES",,"Two mantle figures face one another","Two mantle figures face one another",,,,,"2_M","SINGLE","IMAG6290.jpg",,,"ECA",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0390","0375","Baisi Painter",,,,"Taranto","Private Collection (Baisi)",42,,"2017-02-20T22:30:00-06:00","3-92",3.92,,"6300-01","STANDING (DIONYSIAC)","STANDING (DIONYSIAC)(TYM)","An unbearded satyr, ﾾ frontal moves L and looks R while wearing boots and holding a scarf in his R hand and a phiale/basket of things in his L, and a woman, fully clothed and with necklace and hair up, looks L, moves right, and holds an upside-down torch in her R hand a  tympanon in her L","An unbearded satyr, ﾾ frontal moves L and looks R while wearing boots and holding a scarf in his R hand and a phiale/basket of things in his L, and a woman, fully clothed and with necklace and hair up, looks L, moves right, and holds an upside-down torch in her R hand a  tympanon in her L","1_(TYM)","F(TYM)","R(TYM)","STANDING(TYM)","1_F,1_S","SINGLE","MANTLE FIGURES",,"Two mantle figures face one another, a set of jumping weights hover between their heads, a blood-stained altar stands between them, and the R figure extends a scarf beyond the alter to the L figure","Two mantle figures face one another, a set of jumping weights hover between their heads, a blood-stained altar stands between them, and the R figure extends a scarf beyond the alter to the L figure",,,,,"2_M","SINGLE","IMAG6300.jpg, IMAG6301.jpg",,,"DIO",,"RVAp I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0315","0300","Tenri Painter",,,,"Harrow","School Museum","T 68",,"2017-02-20T22:30:00-06:00","30-02a","30.02a",,"2723-8","FUNERARY","FUNERARY(TYM)","neck: woman seated R with fan on floral; body: central naiskos with youth holding fan and oinochoe facing seated woman holding tympanon up, two female attendants including woman to L holding thyrsos and woman to R holding patera","neck: woman seated R with fan on floral; body: central naiskos with youth holding fan and oinochoe facing seated woman holding tympanon up, two female attendants including woman to L holding thyrsos and woman to R holding patera","1_(TYM)","F(TYM)","C(TYM)","SEATED(TYM)","4_F,1_M","SINGLE","FUNERARY",,"central ribbon-tied stele with two attendants","central ribbon-tied stele with two attendants",,,,,"2_F","SINGLE","IMAG2723.jpg, IMAG2724.jpg, IMAG2725.jpg, IMAG2726.jpg, IMAG2727.jpg, IMAG2728.jpg",,,"FUN",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0315","0300","Tenri Painter",,,,"London","Market (Sotheby's)","13.07.81 354",,"2017-02-20T22:30:00-06:00","30-05a","30.05a",,"2730-3","FUNERARY",", ","neck: head facing L in florals; body: central naiskos with seated youth holding box","neck: head facing L in florals; body: central naiskos with seated youth holding box",,,,,"1_M","SINGLE","SINGLE_FIGURE","SINGLE_FIGURE(TYM)","woman moving L towards stele/altar holding mirror and tympanon","woman moving L towards stele/altar holding mirror and tympanon","1_(TYM)","F(TYM)","C(TYM)","MOVING(TYM)","1_F","SINGLE","IMAG2730.jpg, IMAG2731.jpg, IMAG2732.jpg, IMAG2733.jpg",,,"SGL",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0315","0300","Tenri Painter",,,,"Turin","Private Collection (Martini)",,,"2017-02-20T22:30:00-06:00","30-06",30.06,,2736,"NO PHOTO",,,,,,,,,,"SINGLE_FIGURE","SINGLE_FIGURE(TYM)","eros seated R holding basket and tympanon","eros seated R holding basket and tympanon","1_(TYM)","E(TYM)","C(TYM)","SEATED(TYM)","1_E","SINGLE","IMAG2736.jpg",,,"SGL",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Oinochoe","Shape 1","0315","0300","Tenri Painter",,,,"Mandelien","Private Collection (Rizzo)",,,"2017-02-20T22:30:00-06:00","30-09a_q","30.09a (?)",,2737,"ATTENDANT (DIONYSIAC?)","ATTENDANT (DIONYSIAC?)(TYM)","woman standing holding tympanon facing seated youth with stick, vine leaf above","woman standing holding tympanon facing seated youth with stick, vine leaf above","1_(TYM)","F(TYM)","L(TYM)","SEATED(TYM)","1_F,1_M","SINGLE",,,,,,,,,,,"IMAG2737.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Loutrophoros",,"0310","0300","Painter of B.M. F 339",,,,"Posillipo","Private Collection (De Lorenzo)",5,,"2017-02-20T22:30:00-06:00","30-106",30.106,,2797,"PROCESSION (EROS)","PROCESSION (EROS)(TYM)","tympanon to L of a woman and eros moving L holding wreath, phiale, and sash","tympanon to L of a woman and eros moving L holding wreath, phiale, and sash","1_(TYM)","N/A(TYM)","MIDL(TYM)","N/A(TYM)","1_F,1_E","SINGLE",,,,,,,,,,,"IMAG2797.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Dish","Knob-handled","0310","0300","Late Apulian Vases",,,,"Manchester","University Museum","IV C 8",,"2017-02-20T22:30:00-06:00","30-135",30.135,,2800,"PROCESSION (EROS)","PROCESSION (EROS)(TYM)","Tondo: eros with sash and woman with fan and tympanon moving L","Tondo: eros with sash and woman with fan and tympanon moving L","1_(TYM)","F(TYM)","R(TYM)","MOVING(TYM)","1_F,1_E","SINGLE","NO PHOTO",,,,,,,,,,"IMAG2800.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Skyphos",,"0315","0300","Foggia Group",,,,"Santa Monica","Private Collection",,,"2017-02-20T22:30:00-06:00","30-19a","30.19a",,"2746-7","COURTSHIP (EROS)","COURTSHIP (EROS)(TYM)","seated woman holding box and fan, eros with rosette chain and tympanon","seated woman holding box and fan, eros with rosette chain and tympanon","1_(TYM)","E(TYM)","R(TYM)","STANDING(TYM)","1_F,1_E","SINGLE","ATTENDANT (EROS)",,"eros seated R holding phiale, woman with box and fan","eros seated R holding phiale, woman with box and fan",,,,,"1_F,1_E","SINGLE","IMAG2746.jpg, IMAG2747.jpg",,,"ECA",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0310","0300","Bassano Group",,,,"Naples","Private Collection (Grimaldi)",356,,"2017-02-20T22:30:00-06:00","30-2",30.2,,,"FUNERARY, DIONYSIAC","DIONYSIAC(BELL)","neck: Dionysos in panther-drawn biga moving R among florals, holding thyrsos with bell; body: central naiskos with seated, bearded man, armed youth, child, and horse with four attendants; erotes chasing swans on handles","neck: Dionysos in panther-drawn biga moving R among florals, holding thyrsos with bell; body: central naiskos with seated, bearded man, armed youth, child, and horse with four attendants; erotes chasing swans on handles","1_(BELL)","M(BELL)","NECKC(BELL)","STANDING(BELL)","2_F,5_M,5_A,1_C","RADIAL","FUNERARY",,"central stele with four attendants","central stele with four attendants",,,,,"2_F,2_M","RADIAL",,,"Image from RVAp II, pl. 393","DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Hydria",,"0310","0300","Bassano Group",,,,"Naples","Private Collection (Grimaldi)",355,,"2017-02-20T22:30:00-06:00","30-23",30.23,,"2749-52","FUNERARY","FUNERARY(TYM)","central naiskos with seated woman tugging at garment and another woman holding an umbrella over her head, four attendants","central naiskos with seated woman tugging at garment and another woman holding an umbrella over her head, four attendants","1_(TYM)","N/A(TYM)","DOWNL(TYM)","N/A(TYM)","4_F,2_M","RADIAL",,,,,,,,,,,"IMAG2749.jpg, IMAG2750.jpg, IMAG2751.jpg, IMAG2752.jpg",,,"FUN",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Plate",,"0310","0300","Bassano Group",,,,"New York","Market (Bonham's)","20.05.92 167",,"2017-02-20T22:30:00-06:00","30-24a4","30.24a4",,2753,"SINGLE_FIGURE (EROS)","SINGLE_FIGURE (EROS)(TYM)","tondo: eros seated on column with situla, tympanon (?) hanging above","tondo: eros seated on column with situla, tympanon (?) hanging above","1_(TYM)","N/A(TYM)","UPC(TYM)","N/A(TYM)","1_E","SINGLE","NO PHOTO",,,,,,,,,,"IMAG2753.jpg",,,"SGL","ECA","RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Oinochoe","Shape 1","0310","0300","Bassano Group",,,,"Kiel","Kunsthalle (Antikensammlung)",,,"2017-02-20T22:30:00-06:00","30-24f_q","30.24f (?)",,2754,"SINGLE_FIGURE (EROS)","SINGLE_FIGURE (EROS)(TYM)","eros seated R and looking L, holding thymiaterion, tympanon to R","eros seated R and looking L, holding thymiaterion, tympanon to R","1_(TYM)","N/A(TYM)","MIDR(TYM)","N/A(TYM)","1_E","SINGLE",,,,,,,,,,,"IMAG2754.jpg",,,"SGL","ECA","Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Pelike",,"0310","0300","Bassano Group",,,,"Naples","Private Collection (Grimaldi)",617,,"2017-02-20T22:30:00-06:00","30-26e","30.26e",,2758,"COURTSHIP (DIONYSIAC)","COURTSHIP (DIONYSIAC)(TYM)","woman seated L holding box, looking R over floral at youth holding thyrsos, small eros flying to L above with tympanon and mirror","woman seated L holding box, looking R over floral at youth holding thyrsos, small eros flying to L above with tympanon and mirror","1_(TYM)","E(TYM)","UPC(TYM)","FLYING(TYM)","1_F,1_M,1_E","SINGLE","SINGLE_FIGURE",,"eros standing R holding wreath and sash","eros standing R holding wreath and sash",,,,,"1_E","SINGLE","IMAG2758.jpg",,,"DIO",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Kantharos",,"0310","0300","Bassano Group",,,,"London","Market (Sotheby's)","10-11.07.89 425/1",,"2017-02-20T22:30:00-06:00","30-31m","30.31m",,2761,"SINGLE_FIGURE (EROS)",,"seated eros with phiale and ball","seated eros with phiale and ball",,,,,"1_E","SINGLE","SINGLE_FIGURE","SINGLE_FIGURE(TYM)","seated youth with tympanon, grapes, and branch","seated youth with tympanon, grapes, and branch","1_(TYM)","M(TYM)","C(TYM)","SEATED(TYM)","1_M","SINGLE","IMAG2761.jpg",,,"SGL",,"Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Krater","Volute","0310","0300","Bassano Group",,,,"London","Market (Sotheby's)","13-14.12.90 170",,"2017-02-20T22:30:00-06:00","30-31z","30.31z",,"2762-4","ATTENDANT (DIONYSIAC?), COURTSHIP, ADORNMENT","COURTSHIP(AU), ADORNMENT(AU), COURTSHIP(AU), ADORNMENT(AU), COURTSHIP(TYM), ADORNMENT(TYM), COURTSHIP(TYM), ADORNMENT(TYM), COURTSHIP(AKI), ADORNMENT(AKI)","neck: seated female with grapes, then youth, two women (one playing aulos, one holding tympanon) moving R towards seated youth with box, grapes, and situla; body: in three rows, a compact composition of male and female figures, a youth playing the apulian kithara and wearing a petasos in upper L, a woman playing the aulos in front of a seated woman also in the upper L, and a woman seated with tympanon upraised in mid C; below the handles, nikai","neck: seated female with grapes, then youth, two women (one playing aulos, one holding tympanon) moving R towards seated youth with box, grapes, and situla; body: in three rows, a compact composition of male and female figures, a youth playing the apulian kithara and wearing a petasos in upper L, a woman playing the aulos in front of a seated woman also in the upper L, and a woman seated with tympanon upraised in mid C; below the handles, nikai","2_(AU),2_(TYM),1_(AKI)","F(AU),F(TYM),M(AKI),F(AU),F(TYM)","NECKC(AU),NECKR(TYM),UPL(AKI),UPC(AU),MIDR(TYM)","MOVING(AU),LEANING(TYM),SEATED(AKI),STANDING(AU),SEATED(TYM)","10_F,8_M,1_E,2_N","3 ROWS","COURTSHIP (EROS), ATTENDANT (DIONYSIAC), ADORNMENT","ATTENDANT (DIONYSIAC)(TYM)","neck: woman seated L with eros approaching from R with situla and box, then youth with thyrsos and phiale seated L with satyr approaching from R with mirror; body: above, enthroned woman facing L, youth and woman to L and eros and another youth/woman pair to R, the R youth holding a tympanon, below, a central seated woman with platter and a woman to L with phiale and open box and a youth to R with box and grapes","neck: woman seated L with eros approaching from R with situla and box, then youth with thyrsos and phiale seated L with satyr approaching from R with mirror; body: above, enthroned woman facing L, youth and woman to L and eros and another youth/woman pair to R, the R youth holding a tympanon, below, a central seated woman with platter and a woman to L with phiale and open box and a youth to R with box and grapes","1_(TYM)","M(TYM)","NECKR(TYM)","SEATED(TYM)","6_F,4_M,2_E,1_S","2 ROWS","IMAG2762.jpg, IMAG2763.jpg, IMAG2764.jpg",,,"ECA","DIO","Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Olpe",,"0310","0300","Connected to the Mignot Painter",,,,"Ruvo","Museo Archeologico Nazionale Jatta",1167,,"2017-02-20T22:30:00-06:00","30-49",30.49,,2780,"MUSIC/DANCE","MUSIC/DANCE(AU)","a figure (woman) enveloped in a patterned robe standing (dancing?) to L accompanied by a woman, seated on a low rock facing L, playing the aulos","a figure (woman) enveloped in a patterned robe standing (dancing?) to L accompanied by a woman, seated on a low rock facing L, playing the aulos","1_(AU)","F(AU)","R(AU)","SEATED(AU)","2_F","SINGLE",,,,,,,,,,,"IMAG2780.jpg",,,"DIO",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Plate",,"0310","0300","Painter of Rodin 971",,,,"Melbourne","Geddes Collection","A 2:19",,"2017-02-20T22:30:00-06:00","30-60a","30.60a",,"2781-2","SINGLE_FIGURE (EROS)","SINGLE_FIGURE (EROS)(TYM)","tondo: eros moving L holding tympanon and sash","tondo: eros moving L holding tympanon and sash","1_(TYM)","E(TYM)","C(TYM)","MOVING(TYM)","1_E","SINGLE","NO PHOTO",,,,,,,,,,"IMAG2781.jpg, IMAG2782.jpg",,,"SGL","ECA","Who knows?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Oinochoe","Shape 1","0310","0300","Mattinata Painter",,,,"Chicago","Art Institute",89.87,,"2017-02-20T22:30:00-06:00","30-66",30.66,,2783,"SINGLE_FIGURE","SINGLE_FIGURE(TYM)","woman with platter, fan, and iynx moving R and looking L, frilly tympanon to lower R","woman with platter, fan, and iynx moving R and looking L, frilly tympanon to lower R","1_(TYM)","N/A(TYM)","DOWNR(TYM)","N/A(TYM)","1_F","SINGLE",,,,,,,,,,,"IMAG2783.jpg",,,"SGL",,"RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Apulian",,"Oinochoe","Shape 1","0310","0300","Mattinata Painter",,,,"Chicago","Art Institute",89.88,,"2017-02-20T22:30:00-06:00","30-67",30.67,,2784,"SINGLE_FIGURE","SINGLE_FIGURE(TYM)","seated woman holding phiale and grapes, tympanon to lower L behind knee","seated woman holding phiale and grapes, tympanon to lower L behind knee","1_(TYM)","N/A(TYM)","DOWNL(TYM)","N/A(TYM)","1_F","SINGLE",,,,,,,,,,,"IMAG2784.jpg",,,"SGL","DIO","RVAp II",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
