"order","iri_local_name","modified","site_name_zh-Hans","site_name_zh-Latn-pinyin","site_name_en","site_geonames_id","site_getty_togn_id","earliest_period_zn-Hans","earliest_period_en","earliest_period_iri","latest_period_zn-Hans","latest_period_en","latest_period_iri","site_date_verbatim_zn-Hans","site_date_en","location_zn-Hans","province_name_zn-Hans","province_name_zh-latn-pinyin","province_zn-Hans","county-city_name_zn-Hans","political subdivision_zn-Hans","county-city_name_zh-latn-pinyin","political subdivision_en","political_subdivision_getty_tgn","subdivision_getty_aat_type","locality_zn-Hans","political subdivision2_zn-Hans","Geo_note","county-city_verbatim_zn-Hans","locality_en","locality_geonames_id","locality_getty_togn_id","Note"
48,"Chongjiaosi","2016-10-19T13:46:00-05:00","崇教寺正殿","Chongjiaosi","Chongjiao Monastery",,,"宋","Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","宋金","Song to Jin","山西省长治市","山西","Shanxi","山西省","长治","市","Changzhi","City","8206366","300387198","马厂","镇","故驿村","马厂镇故驿村","Changzhi Municipality Guyicun",,,
49,"Qingliansi","2016-10-19T13:46:00-05:00","青莲寺","Qingliansi","Qinglian Monastery",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐至清","Tang to Qing","山西省晋城市","山西","Shanxi","山西省","晋城","市","Jincheng","City","8619006","300387145",,,,"晋城市",,,,
50,"Nanshentou_Erxianmiao","2016-10-19T13:46:00-05:00","南神头二仙庙","Nanshentou Erxianmiao","Erxian Temple in Nanshentou",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198","潞城","镇","石圪峦村","陵川县; 陵川县潞城镇石圪峦村",,,,
51,"Geyuansi","2016-10-19T13:46:00-05:00","阁院寺","Geyuansi","Geyuan Monastery",,,"辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","http://n2t.net/ark:/99152/p0fp7wvw8zq","辽","Liao ","河北省涞源县","河北","Hebei","河北省","涞源","县","Laiyuan","County","8630454","300387198",,,,"涞源县",,,,
52,"Fuyangsi","2016-10-19T13:46:00-05:00","福祥寺","Fuyangsi","Fuyang Monastery",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省榆社县","山西","Shanxi","山西省","榆社","县",,"County",,,,,,"榆社县",,,,
53,"Quwo_Dabeiyuan","2016-10-19T13:46:00-05:00","曲沃大悲院过殿","Quwo Dabeiyuan","Dabei Cloister in Quwo",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","金","Jin","山西省临汾市","山西","Shanxi","山西省","临汾","市","Linfen","City","8622739","300387145","曲沃","县","曲村镇曲村中","曲村镇曲村中","Quwo_Qucunzhen_Qucun_zhong",,,
54,"Xiaohuiling_Erxianmiao","2016-10-19T13:46:00-05:00","小会岭二仙庙","Xiaohuiling Erxianmiao","Erxian Temple in Xiaohuiling",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","北宋至清","Northern Song to Qing","山西省陵川县","山西","Shanxi","山西省","陵川","县","Lingchuan","County","8623563","300387198",,,,"陵川县",,,,
55,"Lingze_wangmiao","2016-10-19T13:46:00-05:00","灵泽王庙/ 太平龍王廟","Lingze Wangmiao","Wang Temple in Lingze",,,"金","Jin","http://n2t.net/ark:/99152/p0fp7wvmghn","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","金至清","Jin to Qing","山西省長治","山西","Shanxi","山西省","長治","市",,"City",,,"襄垣","县",,"長治襄垣县",,,,
56,"Faxingsi","2016-10-19T13:46:00-05:00","法兴寺","Faxingsi","Faxing Monastery",,,"唐","Tang","http://n2t.net/ark:/99152/p0fp7wvrjpj","清","Qing","http://n2t.net/ark:/99152/p0fp7wvtqp9","唐 (to Qing)","Tang to Qing","山西省长子县","山西","Shanxi","山西省","长子","县","Zhangzi","County","8677997","300387198",,,,"长子县",,,,
57,"Meian","2016-10-19T13:46:00-05:00","梅庵","Meian","Mei Hemitage",,,"北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","北宋","Northern Song","http://n2t.net/ark:/99152/p0fp7wvjvn8","北宋 996?","Northern Song","广东省肇庆市","广东","Guangdong","广东省","肇庆","市",,"City",,,,,,"肇庆市",,,,
